ID,original_date,modis_date
00643_ID,2005-04-18,2005-04-22 00:00:00.000000256
00644_ID,2005-04-18,2004-10-28 00:00:00.000000000
00647_ID,2005-05-28,2005-04-27 00:00:00.000000000
00651_ID,2005-04-06,2005-04-13 00:00:00.000000000
00657_ID,2005-05-30,2005-11-10 00:00:00.000000000
01075_ID,2005-10-20,2006-11-06 00:00:00.000000000
01077_ID,2005-11-13,
01078_ID,2005-11-23,2005-04-27 00:00:00.000000000
01081_ID,2005-11-30,2006-12-22 00:00:00.000000000
01082_ID,2005-12-17,
01083_ID,2005-10-19,
01085_ID,2005-11-29,
01086_ID,2005-10-19,2005-10-20 00:00:00.000000000
01087_ID,2005-10-20,
01090_ID,2005-10-14,
01091_ID,2005-10-14,
01094_ID,2005-10-14,
01095_ID,2005-11-11,2005-11-17 00:00:00.000000000
01096_ID,2005-10-16,2005-10-20 00:00:00.000000000
01097_ID,2005-11-16,2005-11-17 00:00:00.000000000
01098_ID,2005-10-19,2005-10-20 00:00:00.000000000
01104_ID,2005-12-09,
01106_ID,2005-11-24,
01107_ID,2005-12-02,2006-10-25 00:00:00.000000000
01108_ID,2005-11-24,2005-11-20 23:59:59.999999488
01109_ID,2005-12-02,2005-11-19 00:00:00.000000000
01110_ID,2005-11-06,2005-11-14 00:00:00.000000000
01112_ID,2005-10-20,2005-10-20 00:00:00.000000000
01113_ID,2005-11-12,2005-11-21 00:00:00.000000256
01114_ID,2005-11-06,2005-11-10 00:00:00.000000000
01115_ID,2005-11-14,2005-11-19 00:00:00.000000000
11093_ID,2005-04-09,
11115_ID,2005-05-11,2006-05-27 00:00:00.000000000
11139_ID,2005-04-14,
11150_ID,2005-04-04,
11207_ID,2005-04-26,2005-04-22 00:00:00.000000000
11720_ID,2005-11-26,
11725_ID,2005-11-25,2005-11-21 00:00:00.000000000
11726_ID,2005-11-01,
11727_ID,2005-11-16,2005-11-19 00:00:00.000000000
11745_ID,2005-11-15,2005-11-21 00:00:00.000000000
11748_ID,2005-12-18,2005-12-25 00:00:00.000000000
11757_ID,2005-12-02,
00652_ID,2005-05-18,2006-06-05 00:00:00.000000000
00663_ID,2005-04-20,2005-04-22 00:00:00.000000000
00664_ID,2005-04-07,2004-11-23 00:00:00.000000000
00665_ID,2005-06-03,
00666_ID,2005-06-03,
01092_ID,2005-10-29,2005-11-10 00:00:00.000000256
01093_ID,2005-11-13,2005-11-20 23:59:59.999999744
11276_ID,2005-01-12,2005-01-16 00:00:00.000000000
11277_ID,2005-03-22,2005-03-23 00:00:00.000000000
11278_ID,2005-01-07,2005-01-12 00:00:00.000000000
11768_ID,2005-09-16,2005-11-16 00:00:00.000000000
11770_ID,2005-07-01,
11377_ID,2005-04-06,2004-09-03 00:00:00.000000000
11378_ID,2005-04-06,
11379_ID,2005-04-06,
11380_ID,2005-04-06,
11376_ID,2005-04-30,
09812_ID,2006-07-01,
18224_ID,2006-07-01,2006-04-14 00:00:00.000000000
06072_ID,2006-07-01,2006-05-16 00:00:00.000000000
11572_ID,2006-03-01,2006-03-05 23:59:59.999999744
11601_ID,2006-04-06,2006-04-14 00:00:00.000000000
11637_ID,2006-04-08,
12195_ID,2006-12-28,2006-12-31 00:00:00.000000000
12206_ID,2006-12-03,
12208_ID,2006-12-15,
00958_ID,2006-01-22,2006-01-26 00:00:00.000000000
00959_ID,2006-02-05,2005-10-20 00:00:00.000000000
00961_ID,2006-02-05,2005-10-20 00:00:00.000000000
01281_ID,2006-10-19,2006-10-20 00:00:00.000000000
01297_ID,2006-12-03,
01302_ID,2006-12-16,2006-12-24 00:00:00.000000000
01304_ID,2006-10-28,2006-11-03 00:00:00.000000000
11554_ID,2006-05-15,2005-11-21 00:00:00.000000000
11484_ID,2006-05-13,2006-05-20 00:00:00.000000000
11513_ID,2006-05-12,
11521_ID,2006-05-12,
11523_ID,2006-05-12,
11526_ID,2006-05-12,
11533_ID,2006-05-12,
11538_ID,2006-05-12,
11539_ID,2006-05-12,
11551_ID,2006-03-28,
11552_ID,2006-05-11,2006-05-20 00:00:00.000000000
11553_ID,2006-05-11,
11557_ID,2006-04-12,
11580_ID,2006-04-07,2006-04-07 00:00:00.000000000
11648_ID,2006-01-23,
11649_ID,2006-01-23,2006-02-02 00:00:00.000000000
11684_ID,2006-02-14,2006-02-08 23:59:59.999999744
11691_ID,2006-01-24,2006-01-06 00:00:00.000000256
11695_ID,2006-02-27,2005-11-18 23:59:59.999999744
11703_ID,2006-03-04,2006-03-04 18:06:20.251489024
11704_ID,2006-05-21,2005-11-14 00:00:00.000000000
11705_ID,2006-03-04,2006-03-05 00:00:00.000000000
11707_ID,2006-03-31,
11709_ID,2006-03-31,
11773_ID,2006-02-28,2006-03-08 00:00:00.000000000
11774_ID,2006-02-28,2006-02-02 00:00:00.000000000
11775_ID,2006-02-28,2006-03-17 00:00:00.000000000
00940_ID,2006-05-08,
11507_ID,2006-04-01,
11541_ID,2006-05-12,
11542_ID,2006-04-06,
11543_ID,2006-04-08,2006-04-16 00:00:00.000000000
11549_ID,2006-05-13,2006-04-25 00:00:00.000000000
11555_ID,2006-05-12,
11559_ID,2006-05-12,2006-08-18 12:00:00.000000000
11639_ID,2006-01-21,2005-11-21 00:00:00.000000000
11643_ID,2006-01-19,
11647_ID,2006-01-21,2005-11-21 00:00:00.000000000
11652_ID,2006-01-16,
11653_ID,2006-01-19,
11656_ID,2006-02-25,
11671_ID,2006-05-13,
11674_ID,2006-01-10,
11676_ID,2006-04-07,2006-04-07 00:00:00.000000000
11682_ID,2006-02-10,
11683_ID,2006-01-22,2006-01-22 00:00:00.000000000
11685_ID,2006-02-11,2005-11-21 00:00:00.000000000
11687_ID,2006-01-07,2005-11-21 00:00:00.000000000
11688_ID,2006-02-11,
11690_ID,2006-04-20,2005-12-02 00:00:00.000000000
11714_ID,2006-04-06,2006-04-14 00:00:00.000000000
11715_ID,2006-01-17,
00920_ID,2006-05-19,2006-05-25 00:00:00.000000000
00921_ID,2006-05-04,
00923_ID,2006-05-25,
00924_ID,2006-05-04,2006-05-16 00:00:00.000000256
00927_ID,2006-06-06,2006-06-12 00:00:00.000000000
00928_ID,2006-05-09,2006-05-18 00:00:00.000000000
00929_ID,2006-06-18,2007-04-28 00:00:00.000000000
00931_ID,2006-06-09,
00933_ID,2006-06-18,2007-04-28 00:00:00.000000000
00936_ID,2006-05-19,2006-05-25 00:00:00.000000000
00937_ID,2006-05-02,2006-05-03 23:58:32.058436224
00938_ID,2006-06-25,2006-07-05 00:00:00.000000000
00939_ID,2006-05-02,2006-05-10 23:59:59.999999744
00941_ID,2006-06-18,2006-06-19 00:00:00.000000000
01071_ID,2006-05-19,2005-11-09 23:43:35.361042048
01072_ID,2006-05-19,2006-05-25 00:00:00.000000000
01073_ID,2006-05-08,2006-05-16 00:00:00.000000000
11565_ID,2006-05-13,2006-05-20 00:00:00.000000000
